SimTicketID,SampledHistoricalTicket,ArrivalTime,CompletionTime,TotalSystemTime,Closed_Level,Level1_Minutes,Level2_Minutes,Level3_Minutes
202,TKT0237,6188.55882295131,6383.666401497704,195.1075785463945,2,42,119,0
209,TKT0170,6324.489872677582,6471.666401497704,147.17652882012226,1,91,0,0
210,TKT0337,6343.6879404428855,6495.365517976884,151.67757753399837,1,101,0,0
208,TKT0037,6286.246821634835,6495.666401497704,209.4195798628689,2,25,115,0
213,TKT0013,6400.080584386717,6530.365517976884,130.28493359016647,2,24,11,0
211,TKT0465,6356.419434194638,6531.006570906114,174.58713671147598,2,65,29,0
207,TKT0451,6253.41284808545,6574.365517976884,320.9526698914342,3,56,91,89
212,TKT0053,6369.419197781281,6587.666401497704,218.24720371642343,1,116,0,0
217,TKT0116,6579.933071570827,6616.666401497704,36.73332992687665,1,29,0,0
206,TKT0056,6249.815259088156,6675.365517976884,425.5502588887275,3,116,16,101
214,TKT0410,6419.289578148313,6709.006570906114,289.71699275780065,2,104,103,0
219,TKT0065,6636.451412633182,6748.451412633182,112.0,1,112,0,0
215,TKT0173,6511.233766630199,6751.365517976884,240.13175134668472,3,59,106,67
216,TKT0494,6541.760104278065,6764.365517976884,222.60541369881867,3,99,43,13
218,TKT0067,6594.765187579898,6775.006570906114,180.24138332621533,3,74,61,5
222,TKT0445,6779.040934146042,6787.040934146042,8.0,1,8,0,0
220,TKT0421,6644.026301514427,6788.365517976884,144.33921646245653,2,57,54,0
223,TKT0137,6782.126618098668,6791.126618098668,9.0,1,9,0,0
224,TKT0281,6784.897151752409,6798.040934146042,13.143782393633046,1,11,0,0
221,TKT0142,6743.4132930714395,6807.4132930714395,64.0,1,64,0,0
225,TKT0175,6834.550267410016,6938.550267410016,104.0,1,104,0,0
226,TKT0187,6979.847258418679,6989.847258418679,10.0,1,10,0,0
229,TKT0033,7051.123033218425,7081.123033218425,30.0,1,30,0,0
228,TKT0148,7029.686473771344,7137.686473771344,108.0,2,27,81,0
231,TKT0457,7162.5027277216495,7184.5027277216495,22.0,1,22,0,0
230,TKT0417,7074.803441072892,7248.803441072892,174.0,3,27,114,33
227,TKT0072,6998.346019361618,7354.803441072892,356.45742171127404,3,114,88,106
232,TKT0026,7333.986422895259,7355.986422895259,22.0,1,22,0,0
233,TKT0478,7360.477320522205,7473.477320522205,113.0,2,51,62,0
235,TKT0250,7419.024919734574,7484.024919734574,65.0,1,65,0,0
234,TKT0198,7379.247323909954,7484.247323909954,105.0,1,105,0,0
237,TKT0301,7558.64875705948,7571.64875705948,13.0,1,13,0,0
236,TKT0287,7485.825134410308,7695.825134410308,210.0,3,59,55,96
238,TKT0132,7609.026867148241,7698.026867148241,89.0,2,32,57,0
239,TKT0268,7630.536489912473,7704.536489912473,74.0,1,74,0,0
240,TKT0060,7647.940859882931,7731.940859882931,84.0,2,54,30,0
247,TKT0326,7772.369164793228,7866.44532615125,94.07616135802164,1,44,0,0
249,TKT0455,7784.7221180423485,7871.44532615125,86.72320810890142,1,5,0,0
241,TKT0173,7657.349297619824,7889.349297619824,232.0,3,59,106,67
242,TKT0073,7664.674207809667,7896.940859882931,232.2666520732646,2,105,90,0
243,TKT0358,7705.44532615125,7953.349297619824,247.90397146857413,2,117,96,0
252,TKT0305,7923.4096872093505,7982.4096872093505,59.0,1,59,0,0
248,TKT0335,7778.959402649257,7992.349297619824,213.38989497056718,2,46,39,0
244,TKT0028,7709.728857865661,8000.349297619824,290.62043975416327,3,96,35,111
245,TKT0121,7740.108279806874,8025.349297619824,285.2410178129503,3,39,23,25
246,TKT0382,7756.6200226462215,8078.349297619824,321.7292749736025,3,60,56,53
250,TKT0435,7861.55347616436,8083.940859882931,222.38738371857107,2,98,108,0
251,TKT0270,7880.3965887986315,8122.349297619824,241.95270882119257,3,109,23,44
254,TKT0151,8078.09698341622,8155.09698341622,77.0,1,77,0,0
255,TKT0459,8099.288742772565,8239.288742772565,140.0000000000009,2,48,92,0
253,TKT0299,8062.542313528983,8247.542313528982,184.9999999999991,3,115,62,8
258,TKT0060,8168.344426614429,8269.542313528982,101.19788691455324,2,54,30,0
257,TKT0174,8133.685267961449,8314.288742772565,180.60347481111603,2,26,75,0
260,TKT0218,8318.175472229264,8364.175472229264,46.0,1,46,0,0
256,TKT0279,8123.315070410378,8367.542313528982,244.22724311860384,2,109,98,0
259,TKT0238,8280.120632296894,8440.120632296894,160.0,2,92,68,0
261,TKT0477,8402.165290746132,8510.165290746132,108.0,1,108,0,0
262,TKT0419,8419.72260673203,8528.72260673203,109.0,1,109,0,0
264,TKT0310,8553.013233807274,8598.013233807274,45.0,2,9,36,0
