SimTicketID,Time,Level,State,Technician
38,1090.5579762742684,1.0,In service at L1,L1-Tech-3
39,1103.2861763992998,,Arrived,
39,1103.2861763992998,1.0,Waiting for L1,
39,1103.2861763992998,1.0,In service at L1,L1-Tech-2
40,1107.4344517024551,,Arrived,
40,1107.4344517024551,1.0,Waiting for L1,
36,1123.167761625018,2.0,Finished L2,L2-Tech-2
36,1123.167761625018,,Completed,
41,1142.1008560183466,,Arrived,
41,1142.1008560183466,1.0,Waiting for L1,
38,1167.5579762742684,1.0,Finished L1,L1-Tech-3
40,1167.5579762742684,1.0,In service at L1,L1-Tech-3
38,1167.5579762742684,,Completed,
40,1172.5579762742684,1.0,Finished L1,L1-Tech-3
41,1172.5579762742684,1.0,In service at L1,L1-Tech-3
40,1172.5579762742684,,Completed,
42,1190.3507481989163,,Arrived,
42,1190.3507481989163,1.0,Waiting for L1,
39,1192.2861763992998,1.0,Finished L1,L1-Tech-2
42,1192.2861763992998,1.0,In service at L1,L1-Tech-2
39,1192.2861763992998,2.0,Waiting for L2,
39,1192.2861763992998,2.0,In service at L2,L2-Tech-1
37,1199.468705823042,1.0,Finished L1,L1-Tech-1
37,1199.468705823042,,Completed,
42,1222.2861763992998,1.0,Finished L1,L1-Tech-2
42,1222.2861763992998,2.0,Waiting for L2,
42,1222.2861763992998,2.0,In service at L2,L2-Tech-2
41,1232.5579762742684,1.0,Finished L1,L1-Tech-3
41,1232.5579762742684,,Completed,
39,1247.2861763992998,2.0,Finished L2,L2-Tech-1
39,1247.2861763992998,,Completed,
42,1257.2861763992998,2.0,Finished L2,L2-Tech-2
42,1257.2861763992998,,Completed,
43,1360.2669976632292,,Arrived,
43,1360.2669976632292,1.0,Waiting for L1,
43,1360.2669976632292,1.0,In service at L1,L1-Tech-1
43,1375.2669976632292,1.0,Finished L1,L1-Tech-1
43,1375.2669976632292,2.0,Waiting for L2,
43,1375.2669976632292,2.0,In service at L2,L2-Tech-1
44,1412.9027045590879,,Arrived,
44,1412.9027045590879,1.0,Waiting for L1,
44,1412.9027045590879,1.0,In service at L1,L1-Tech-2
43,1433.2669976632292,2.0,Finished L2,L2-Tech-1
43,1433.2669976632292,3.0,Waiting for L3,
43,1433.2669976632292,3.0,In service at L3,L3-Tech-1
45,1446.2944319823391,,Arrived,
45,1446.2944319823391,1.0,Waiting for L1,
45,1446.2944319823391,1.0,In service at L1,L1-Tech-3
46,1447.7169457830382,,Arrived,
46,1447.7169457830382,1.0,Waiting for L1,
46,1447.7169457830382,1.0,In service at L1,L1-Tech-1
43,1472.2669976632292,3.0,Finished L3,L3-Tech-1
43,1472.2669976632292,,Completed,
47,1478.3282349612846,,Arrived,
47,1478.3282349612846,1.0,Waiting for L1,
44,1483.9027045590879,1.0,Finished L1,L1-Tech-2
47,1483.9027045590879,1.0,In service at L1,L1-Tech-2
44,1483.9027045590879,,Completed,
47,1493.9027045590879,1.0,Finished L1,L1-Tech-2
47,1493.9027045590879,2.0,Waiting for L2,
47,1493.9027045590879,2.0,In service at L2,L2-Tech-2
46,1500.7169457830382,1.0,Finished L1,L1-Tech-1
46,1500.7169457830382,,Completed,
47,1500.9027045590879,2.0,Finished L2,L2-Tech-2
47,1500.9027045590879,,Completed,
45,1503.2944319823391,1.0,Finished L1,L1-Tech-3
45,1503.2944319823391,2.0,Waiting for L2,
45,1503.2944319823391,2.0,In service at L2,L2-Tech-1
45,1519.2944319823391,2.0,Finished L2,L2-Tech-1
45,1519.2944319823391,,Completed,
48,1526.5829989647914,,Arrived,
48,1526.5829989647914,1.0,Waiting for L1,
48,1526.5829989647914,1.0,In service at L1,L1-Tech-2
49,1591.4790495617913,,Arrived,
49,1591.4790495617913,1.0,Waiting for L1,
49,1591.4790495617913,1.0,In service at L1,L1-Tech-1
50,1593.0710726403106,,Arrived,
50,1593.0710726403106,1.0,Waiting for L1,
50,1593.0710726403106,1.0,In service at L1,L1-Tech-3
48,1609.5829989647914,1.0,Finished L1,L1-Tech-2
48,1609.5829989647914,,Completed,
51,1622.6653841642394,,Arrived,
51,1622.6653841642394,1.0,Waiting for L1,
51,1622.6653841642394,1.0,In service at L1,L1-Tech-2
51,1645.6653841642394,1.0,Finished L1,L1-Tech-2
51,1645.6653841642394,2.0,Waiting for L2,
51,1645.6653841642394,2.0,In service at L2,L2-Tech-2
52,1648.93967525571,,Arrived,
52,1648.93967525571,1.0,Waiting for L1,
52,1648.93967525571,1.0,In service at L1,L1-Tech-2
50,1666.0710726403106,1.0,Finished L1,L1-Tech-3
50,1666.0710726403106,2.0,Waiting for L2,
50,1666.0710726403106,2.0,In service at L2,L2-Tech-1
49,1703.4790495617913,1.0,Finished L1,L1-Tech-1
49,1703.4790495617913,,Completed,
53,1717.12984760273,,Arrived,
53,1717.12984760273,1.0,Waiting for L1,
